event_id,date,month,source_page,confidence,close,execution_price,buy_units,sell_units,prev_open_long_units,prev_open_short_units,next_open_long_units,next_open_short_units,prev_state,next_state,state_transition,position_id_before,position_id_after,leg_id_after,reversal_flag,lock_state_flag,raw_trade,raw_open_position,note
TACHI_EVT_001,1976-02-08,1976-02,B0289,high_visual,2300,2320,0,2,0,0,0,2,flat,short_only,enter_short,,TACHI_PIONEER_1976_001,1,0,0,? 2,? 2,
TACHI_EVT_002,1976-02-09,1976-02,B0289,high_visual,2310,2300,0,3,0,2,0,5,short_only,short_only,add_short,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,2,0,0,? 3,? 5,
TACHI_EVT_003,1976-02-16,1976-02,B0289,high_visual,2340,2330,0,5,0,5,0,10,short_only,short_only,add_short,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,3,0,0,? 5,? 10,
TACHI_EVT_004,1976-02-19,1976-02,B0289,high_visual,2290,2320,0,2,0,10,0,12,short_only,short_only,add_short,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,4,0,0,? 2,? 12,
TACHI_EVT_005,1976-02-28,1976-02,B0289,high_visual,2350,2360,5,0,0,12,0,7,short_only,short_only,cover_short_partial,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,5,0,0,5 ?,? 7,
TACHI_EVT_006,1976-03-01,1976-03,B0290,high_visual,2360,2370,0,3,0,7,0,10,short_only,short_only,add_short,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,6,0,0,? 3,? 10,
TACHI_EVT_007,1976-03-06,1976-03,B0290,high_visual,2660,2590,5,0,0,10,0,5,short_only,short_only,cover_short_partial,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,7,0,0,5 ?,? 5,
TACHI_EVT_008,1976-03-09,1976-03,B0290,high_visual,2570,2600,0,5,0,5,0,10,short_only,short_only,add_short,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,8,0,0,? 5,? 10,
TACHI_EVT_009,1976-03-10,1976-03,B0290,high_visual,2600,2610,0,2,0,10,0,12,short_only,short_only,add_short,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,9,0,0,? 2,? 12,
TACHI_EVT_010,1976-03-19,1976-03,B0290,high_visual,2730,2740,2,0,0,12,0,10,short_only,short_only,cover_short_partial,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,10,0,0,2 ?,? 10,
TACHI_EVT_011,1976-03-23,1976-03,B0290,high_visual,2850,2750,5,0,0,10,0,5,short_only,short_only,cover_short_partial,TACHI_PIONEER_1976_001,TACHI_PIONEER_1976_001,11,0,0,5 ?,? 5,
TACHI_EVT_012,1976-03-24,1976-03,B0290,high_visual,2930,2860,5,0,0,5,0,0,short_only,flat,cover_short_to_flat,TACHI_PIONEER_1976_001,,,0,0,5 ?,0,Flat after buy-back.
