date,month,symbol,calendar_index,holiday_tag,is_trading_day,close,execution_price,action,buy_units,sell_units,open_units,position_state,reason_tag,state_tag,source,source_sheet,source_row,trade_marker_readable,confidence,note
1975-01-01,1975-01,PIONEER,1,,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,3,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-02,1975-01,PIONEER,2,,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,4,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-03,1975-01,PIONEER,3,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,5,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-04,1975-01,PIONEER,4,,1,810,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,6,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-05,1975-01,PIONEER,5,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,7,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-06,1975-01,PIONEER,6,,1,803,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,8,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-07,1975-01,PIONEER,7,,1,805,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,9,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-08,1975-01,PIONEER,8,,1,780,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,10,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-09,1975-01,PIONEER,9,,1,766,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,11,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-10,1975-01,PIONEER,10,,1,755,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,12,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-11,1975-01,PIONEER,11,,1,770,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,13,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-12,1975-01,PIONEER,12,日,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,14,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-13,1975-01,PIONEER,13,,1,775,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,15,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-14,1975-01,PIONEER,14,,1,788,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,16,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-15,1975-01,PIONEER,15,假,0,,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,17,0,B_calendar,Trade markers are not machine-readable in workbook cells; manual confirmation required.
1975-01-16,1975-01,PIONEER,16,,1,775,,,,,,,,,xlsx_price_table_scaffold,股票-价位表+部位记录表,18,0,A_price,Trade markers are not machine-readable in workbook cells; manual confirmation required.
